eco,name,pgn,move,color,fen,master,lichess,white,draws,black
B00,"Nimzowitsch Defense: Kennedy Variation, de Smet Gambit",1. e4 Nc6 2. d4 e5 3. dxe5 d6,6,black,r1bqkbnr/ppp2ppp/2np4/4P3/4P3/8/PPP2PPP/RNBQKBNR w KQkq - 0 4,,0eEaIIyJ,424870,35653,450793
B30,Sicilian Defense: Portsmouth Gambit,1. e4 c5 2. Nf3 Nc6 3. b4,5,white,r1bqkbnr/pp1ppppp/2n5/2p5/1P2P3/5N2/P1PP1PPP/RNBQKB1R b KQkq - 0 3,hgJ0v6j8,SRgSDsyP,459010,31166,371504
C21,Center Game: von der Lasa Gambit,1. e4 e5 2. d4 exd4 3. Bc4,5,white,rnbqkbnr/pppp1ppp/8/8/2BpP3/8/PPP2PPP/RNBQK1NR b KQkq - 1 3,SMqav6dG,cvQ1y69L,445778,31891,363187
C47,"Four Knights Game: Italian Variation, Noa Gambit",1. e4 e5 2. Nf3 Nc6 3. Bc4 Nf6 4. Nc3 Nxe4 5. Bxf7+,9,white,r1bqkb1r/pppp1Bpp/2n5/4p3/4n3/2N2N2/PPPP1PPP/R1BQK2R b KQkq - 0 5,,qnc5muNR,332663,35602,466055
A00,Van Geet Opening: Dunst-Perrenet Gambit,1. Nc3 d5 2. e4 dxe4 3. d3,5,white,rnbqkbnr/ppp1pppp/8/8/4p3/2NP4/PPP2PPP/R1BQKBNR b KQkq - 0 3,lBYI9Qju,fVDAXL3Q,434893,30910,361560
C44,Ponziani Opening: Neumann Gambit,1. e4 e5 2. Nf3 Nc6 3. c3 Nf6 4. Bc4,7,white,r1bqkb1r/pppp1ppp/2n2n2/4p3/2B1P3/2P2N2/PP1P1PPP/RNBQK2R b KQkq - 2 4,,bBVaFayv,359721,29358,374428
B01,Scandinavian Defense: Kloosterboer Gambit,1. e4 d5 2. exd5 c6 3. dxc6 e5,6,black,rnbqkbnr/pp3ppp/2P5/4p3/8/8/PPPP1PPP/RNBQKBNR w KQkq - 0 4,,4QxzCV7d,348989,25036,385759
A04,Zukertort Opening: Vos Gambit,1. Nf3 d6 2. d4 e5,4,black,rnbqkbnr/ppp2ppp/3p4/4p3/3P4/5N2/PPP1PPPP/RNBQKB1R w KQkq - 0 3,MlWCUI0X,,381780,29735,343158
C65,"Ruy Lopez: Classical Variation, Zukertort Gambit",1. e4 e5 2. Nf3 Nc6 3. Bb5 Nf6 4. O-O Bc5 5. c3,9,white,r1bqk2r/pppp1ppp/2n2n2/1Bb1p3/4P3/2P2N2/PP1P1PPP/RNBQ1RK1 b kq - 0 5,RLA6sa8K,quEkoNt5,422055,28405,298786
C25,Vienna Game: Omaha Gambit,1. e4 e5 2. Nc3 d6 3. f4,5,white,rnbqkbnr/ppp2ppp/3p4/4p3/4PP2/2N5/PPPP2PP/R1BQKBNR b KQkq - 0 3,1df1G27w,GdToClFW,413904,26519,308700
